GeogName,GeoID,Borough,TotalPopulation2016,White2016,RateWhite2016,RateNonWhite2016,Income2016,TotalUnits2016,Owned2016,Rented2016,OwnedRate2016,RentedRate2016,Rent2016,HouseValue2016,X1_2016,X2_2016,X3_2016,GFactor2016,TotalPopulation2010,White2010,RateWhite2010,RateNonWhite2010,Income2010,TotalUnits2010,Owned2010,Rented2010,OwnedRate2010,RentedRate2010,Rent2010,HouseValue2010,X1_2010,X2_2010,X3_2010,GFactor2010,TotalPopulationChange,WhiteChange,RateWhiteChange,RateNonWhiteChange,IncomeChange,TotalUnitsChange,OwnedChange,RentedChange,OwnedRateChange,RentedRateChange,RentChange,HouseValueChange,X1_Change,X2_Change,X3_Change,GFactorChange
Flatlands,BK58,Brooklyn,70189,13868,0.197580818,0.802419182,61020,23233,14677,8276,0.631730728,0.356217449,1004,462988,0.066754348,0.108065957,0.139325127,0.314145432,72540,11458,0.16,0.84,69459,23073,13615,9458,0.59,0.41,1227,453757,0.05,0.12,0.07,0.25,0.03,-0.17,-0.2,0.05,0.14,-0.01,-0.07,0.14,-0.07,0.15,0.22,-0.02,-0.19,0.1,-0.49,-0.57
Flushing,QN22,Queens,66943,7225,0.10792764,0.89207236,40350,25848,7141,18202,0.276268957,0.704193748,1138,246243,0.035538982,0.055305409,0.061020901,0.151865292,70697,5479,0.08,0.92,37698,25807,6848,18959,0.27,0.73,1315,291684,0.03,0.04,0.04,0.11,0.06,-0.24,-0.28,0.03,-0.07,0,-0.04,0.04,-0.04,0.04,0.16,0.18,-0.27,-0.27,-0.27,-0.81
Fordham South,BX40,Bronx,27552,425,0.015425377,0.984574623,21986,8647,180,8267,0.020816468,0.956054123,950,303029,0.003331623,0.008430967,0.081536178,0.093298769,28434,340,0.01,0.99,23992,8930,106,8824,0.01,0.99,1134,394443,0,0.01,0.06,0.07,0.03,-0.2,-0.22,0,0.09,0.03,-0.41,0.07,-0.43,0.03,0.19,0.3,-0.15,-0.23,-0.24,-0.62
Forest Hills,QN17,Queens,83269,49290,0.591936975,0.408063025,67568,38869,18264,19818,0.469886027,0.509866475,1279,356936,0.204060938,0.124779845,0.101011349,0.429852132,86531,46136,0.53,0.47,70278,39258,18067,21191,0.46,0.54,1549,354235,0.19,0.12,0.05,0.36,0.04,-0.06,-0.1,0.14,0.04,0.01,-0.01,0.07,-0.02,0.06,0.21,-0.01,-0.08,-0.03,-0.46,-0.57
Fort Greene,BK68,Brooklyn,25393,7009,0.276020951,0.723979049,52392,10817,2669,7968,0.246741241,0.736618286,1075,720965,0.094065567,0.086042831,0.232525381,0.412633779,30288,8540,0.28,0.72,59907,12494,3091,9403,0.25,0.75,1165,795842,0.1,0.1,0.13,0.32,0.19,0.22,0.02,-0.01,0.14,0.16,0.16,0.18,0,0.02,0.08,0.1,0.04,0.11,-0.44,-0.29
Fresh Meadows-Utopia,QN41,Queens,17542,6074,0.346254703,0.653745297,67449,6678,2683,3928,0.401766996,0.58820006,1383,622813,0.118519495,0.124476096,0.197065664,0.440061255,18700,5985,0.32,0.68,71429,6660,2904,3756,0.44,0.56,1666,649612,0.11,0.12,0.1,0.34,0.07,-0.01,-0.08,0.04,0.06,0,0.08,-0.04,0.09,-0.04,0.2,0.04,-0.06,0,-0.47,-0.53
Ft. Totten-Bay Terrace-Clearview,QN47,Queens,22161,14547,0.656423447,0.343576553,72573,10063,7261,2698,0.721554208,0.268110901,1485,402581,0.226513782,0.137555198,0.117501678,0.481570659,21945,13404,0.61,0.39,76137,9848,6838,3010,0.69,0.31,1951,414849,0.21,0.14,0.07,0.42,-0.01,-0.08,-0.07,0.13,0.05,-0.02,-0.06,0.12,-0.04,0.14,0.31,0.03,-0.05,-0.01,-0.45,-0.51
Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,Brooklyn,48060,36567,0.760861423,0.239138577,80956,16055,12021,3760,0.748738711,0.234194955,1360,562661,0.262876908,0.158952957,0.175334341,0.597164205,47997,32452,0.68,0.32,80660,16788,12185,4603,0.73,0.27,1405,570269,0.24,0.15,0.09,0.48,0,-0.11,-0.11,0.35,0,0.05,0.01,0.22,-0.03,0.17,0.03,0.01,-0.1,-0.07,-0.48,-0.65
Glen Oaks-Floral Park-New Hyde Park,QN44,Queens,22719,11834,0.520885602,0.479114398,73483,9292,7089,2092,0.762914335,0.225139905,1224,458095,0.179322332,0.13987799,0.137557415,0.456757737,23344,10533,0.45,0.55,84340,9030,7021,2009,0.78,0.22,1512,463320,0.16,0.16,0.07,0.39,0.03,-0.11,-0.13,0.15,0.15,-0.03,-0.01,-0.04,0.02,-0.01,0.24,0.01,-0.12,0.12,-0.47,-0.47
Glendale,QN19,Queens,32299,19881,0.615529893,0.384470107,54665,11739,5724,5727,0.487605418,0.487860976,1179,534267,0.2122755,0.091844705,0.165076341,0.469196545,34029,20094,0.59,0.41,70509,11820,5841,5979,0.49,0.51,1343,512186,0.21,0.12,0.08,0.41,0.05,0.01,-0.04,0.07,0.29,0.01,0.02,0.04,0.01,0.04,0.14,-0.04,-0.02,0.33,-0.51,-0.2
Gramercy,MN21,Manhattan,25787,19713,0.764454958,0.235545042,96090,15068,5521,9357,0.366405628,0.620984869,1804,644448,0.264128102,0.197582765,0.204881817,0.666592684,27886,19804,0.71,0.29,116266,14167,5176,8991,0.37,0.63,2282,726595,0.25,0.24,0.12,0.6,0.08,0,-0.07,0.23,0.21,-0.06,-0.06,-0.04,0,0.02,0.26,0.13,-0.06,0.19,-0.42,-0.29
Grasmere-Arrochar-Ft. Wadsworth,SI14,Staten Island,14728,9948,0.675448126,0.324551874,62562,5637,3287,1999,0.583111584,0.354621252,794,452736,0.233137779,0.11200194,0.135621351,0.48076107,15896,10182,0.64,0.36,74103,5669,3516,2153,0.62,0.38,1103,432166,0.22,0.13,0.07,0.42,0.08,0.02,-0.05,0.11,0.18,0.01,0.07,0.08,0.06,0.07,0.39,-0.05,-0.04,0.17,-0.5,-0.37
Gravesend,BK26,Brooklyn,27105,14822,0.546836377,0.453163623,36094,11011,4266,6426,0.387430751,0.58359822,827,549688,0.18835785,0.044441892,0.170647539,0.403447282,30288,15255,0.5,0.5,38573,11375,3812,7563,0.34,0.66,1024,515440,0.18,0.04,0.08,0.3,0.12,0.03,-0.08,0.1,0.07,0.03,-0.11,0.18,-0.14,0.14,0.24,-0.06,-0.06,-0.04,-0.52,-0.62
Great Kills,SI54,Staten Island,41033,35483,0.864743012,0.135256988,87574,15133,12589,2369,0.83189057,0.156545298,1205,473988,0.29904631,0.175845522,0.143299135,0.618190967,43602,36834,0.84,0.16,91161,15517,12765,2752,0.82,0.18,1455,450902,0.3,0.17,0.07,0.54,0.06,0.04,-0.02,0.15,0.04,0.03,0.01,0.16,-0.01,0.13,0.21,-0.05,-0.01,-0.02,-0.5,-0.53
Greenpoint,BK76,Brooklyn,31515,24020,0.762176741,0.237823259,55936,15010,2908,11827,0.193737508,0.787941372,1183,706132,0.263334874,0.095088955,0.227166611,0.585590441,33351,25167,0.75,0.25,74283,15869,3146,12723,0.2,0.8,1786,720209,0.27,0.13,0.12,0.51,0.06,0.05,-0.01,0.03,0.33,0.06,0.08,0.08,0.02,0.02,0.51,0.02,0.01,0.38,-0.49,-0.1
Grymes Hill-Clifton-Fox Hills,SI08,Staten Island,22192,7120,0.320836337,0.679163663,48806,7938,3731,4140,0.470017637,0.52154195,919,348730,0.10966935,0.076889501,0.098046739,0.28460559,21636,6239,0.29,0.71,55814,7610,3503,4107,0.46,0.54,1090,379258,0.1,0.09,0.06,0.25,-0.03,-0.12,-0.1,0.05,0.14,-0.04,-0.06,-0.01,-0.02,0.03,0.19,0.09,-0.08,0.11,-0.4,-0.37
Hamilton Heights,MN04,Manhattan,49667,6007,0.120945497,0.879054503,34488,18163,2293,15490,0.126245664,0.852832682,935,437128,0.040071528,0.040342548,0.129982594,0.21039667,52508,8759,0.17,0.83,44173,19226,2540,16686,0.13,0.87,1200,312657,0.06,0.06,0.05,0.16,0.06,0.46,0.38,-0.05,0.28,0.06,0.11,0.08,0.05,0.02,0.28,-0.28,0.44,0.4,-0.63,0.21
Hammels-Arverne-Edgemere,QN12,Queens,34677,5098,0.147013871,0.852986129,39195,12103,3878,8141,0.320416426,0.672643146,657,335627,0.049147992,0.05235725,0.093312972,0.194818215,39003,6175,0.16,0.84,39374,13061,4223,8838,0.32,0.68,784,323951,0.05,0.04,0.05,0.15,0.12,0.21,0.08,-0.01,0,0.08,0.09,0.09,0.01,0.01,0.19,-0.03,0.11,-0.15,-0.47,-0.5
Highbridge,BX26,Bronx,36521,288,0.007885874,0.992114126,26525,12589,566,11721,0.044959886,0.931050917,865,427272,0.000706525,0.020016847,0.126421882,0.147145254,39144,664,0.02,0.98,26281,13242,536,12706,0.04,0.96,1044,330274,0,0.01,0.05,0.07,0.07,1.31,1.16,-0.01,-0.01,0.05,-0.05,0.08,-0.1,0.03,0.21,-0.23,5.52,-0.39,-0.6,4.53
